Accession	Samples	Title	Description
GSE124209	11	Autophagic turnover of NBR1 restricts metastatic colonization during mammary tumor progression	Autophagy is implicated in promoting the metastatic potential of tumor cells. Utilizing a mouse model of mammary cancer to temporally delete essential autophagy regulators, ATG12 or ATG5, in tumor cells during distinct stages of carcinoma progression, we determine a stage-specific role for autophagy in suppressing metastatic colonization. In stark contrast to the tumor-promoting role of autophagy in primary mammary tumors, autophagy restricts colonization of disseminated tumor cells (DTCs) and prevents the acquisition of basal epithelial characteristics, effects that are dependent on turnover of the autophagy-specific substrate, Neighbor to BRCA1 (NBR1).
GSE126936	16	MicroRNA-202 is a gatekeeper of meiosis initiation and regulates recombination in male germ line	We preformed RNA sequencing to identify differentiatially expressed mRNAs after miR-202 knockout in isolated spermatogonia and spermatocytes, and cultured spermatogonial stem cells from male mice.
GSE145215	19	Transcriptional changes in Krt13 knockout mouse tongues	We used RNA-Seq to search for potential downstream effectors of Krt13 during the development of White Sponge Nevus-like phenotype in mice
GSE141055	13	Transcriptomic profiling of a CamKII-Dars2 neuronal knockout mouse	Purpose: Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation (LBSL) is a rare, slowly progressive white matter disease caused by mutations in the mitochondrial aspartyl-tRNA synthetase (DARS2).  While patients show characteristic MRI T2 signal abnormalities throughout the cerebral white matter, brain stem, and spinal cord, clinical symptoms appear quite variable and a multitude of gene variants have been associated with the disease.
GSE124716	19	Comparison of Prox1 expressing and Prox1 knockout intestinal tumors and the effect of A2V+CD40	Control or A2V+CD40 treated Prox1-proficient (AP) and Prox1-deficient (APP) tumors
GSE122114	2	Differences in genetic changes in brain tissue between wild-type mice and miR-7 knockout mice in the presence of brain tissue inflammation	Detection of genetic differences in brain tissue in wild-type mice and miR-7 knockdown mice under brain tissue inflammation
GSE138222	4	Single-cell RNA-sequencing of CD45+ splenocytes from aged WT, miR146a knockout, and miR146a-miR155 T cell conditional double knockout mice	Chronic age-dependent inflammation, or inflammaging, is a risk-factor for many disorders that emerge in aging human populations. Mechanisms underlying these aberrant immune responses are complex and remain to be elucidated. Among recently appreciated regulators of inflammaging are microRNAs; one example of which is the anti-inflammatory miR-146a, where deficient mice succumb to life-shortening chronic inflammation.
GSE132056	16	Removing a Double Bond from Ceramides Ameliorates Insulin Resistance and Hepatic Steatosis	Ceramides contribute to the lipotoxicity that underlies diabetes, hepatic steatosis, and heart disease. By genetically engineering mice, we deleted the enzyme dihydroceramide desaturase-1 (DES1) which inserts a conserved double bond into the backbone of ceramides and other predominant sphingolipids. Ablation of DES1 from whole animals, or tissue-specific deletion in the liver, and/or adipose tissue resolved hepatic steatosis and insulin resistance in mice caused by leptin deficiency or obesogenic diets.
GSE129731	128	SMARTSeq_v4 paired end mRNA Seq of Kdm4a control  mutant oocytes and preimplantation embryos	Purpose: The goal of this study was to generate paired-end mRNA Seq transcriptomes of control and Kdm4a mutant oocytes, 2-cell, 4-cell and 8-cell preimplantation embryos to study the dynamics of differentially expressed genes during early development Methods: MII oocytes were isolated from wildtype and Kdm4a knockout mice. 16 MII oocytes from each genotype were washed in M2 medim after zona pellucida removal, washed once in nuclease free water and directly lysed and cDNA prepared according to the manufacturers instructions.
GSE125092	11	Transcriptome Effects of the knockout of Intraflagellar Transport 88 gene in mitral leaflets and in mitral leaflets with mutations in Dzip1	The genes Ift88 and Dzip1 are critical for primary cilium biogenesis, the objective this study was to determine the transcriptome changes in Mitral leaflets in these genetic deficiencies.
GSE117095	6	RNA-seq analysis of RNA-binding protein HuR knockout mice oral epithelial tissues	Purpose:  The goals of this study is to compare NGS-derived oral epithelial transcriptome profiling (RNA-seq) of WT and HuR KO tongue tissues exposed with carcinogen 4-nitroquinoline 1-oxide (4-NQO) induced oral tumorigenesis. Methods: Oral tongue tissues mRNA profiles of six-weeks old wild-type (WT) and epithelial HuR knockout (HuR−/−) mice exposed with 4NQO were generated by deep sequencing, in triplicate, using Illumina hiseq2500.
GSE128349	6	Genome-wide maps of gene expression in liver of alkaline sphingomyelinase knockout mice	Intestinal alkaline sphingomyelinase (alk-SMase) generates ceramide and inactivates platelet-activating factor and associated with digestion and inhibition of cancer. There is few study to analyze the correlated function and characterize the genes related to alk-SMase comprehensively. In this work, deep RNA sequencing was performed to investigate the function of alk-SMase. Our RNA-seq data found 239 differentially expressed mRNAs between the wild type (WT) mice and alk-SMase (gene NPP7) knockout (KO) mice, in which 73 were significantly up-regulated and 166 were down-regulated, including protein coding genes, non-coding RNAs.
GSE128228	16	AGO-bound virus-derived RNA in Influenza infected  WT and AGO4 knockout bone marrow derived macrophages performed by Immunoprecipitation following by High Throughput Sequencing	We identified virus-derived RNA bound to AGO in Influenza A  or Influenza delNS1-infected macrophages taken from wild-type or Ago4 KO littermate control mice
GSE121322	9	Gene expression profiling of wiltype and Ctr1 knockout MEFs with depleted cellular Cu levels	The transition metal Cu is an essential micronutrient in biological systems. The majority of Cu is taken up into the cell through the Cu transporter CTR1 and thus, deletion of Ctr1 results in Cu deficiency. Here we performed transcriptional profiling of isogenic mouse embryonic fibroblast harboring conditional alleles for Ctr1 floxed out or intact through in vitro administration of doxycycline. The goal was to elucidate gene expression changes upon knockout of Ctr1.
GSE109431	12	Transcriptional analysis of adult LRH-1 knockout livers reveals a novel role for LRH-1 in hepatic lipid homeostasis and phospholipid remodeling	Purpose: To identify novel LRH-1 target genes in adult knockout livers.
GSE120179	4	Global transcriptome analysis of paracancerous lung tissues from the B16 metastasis mice model under the influence of lactoferrin knockout	Purpose: Next-generation sequencing (NGS) has revolutionized systems-based analysis of cellular pathways. The goals of this study are using transcriptome profiling (RNA-seq) to evaluate the effects of lactoferrin deficiency on the global transcriptome of the lung microenvironment of the B16 metastasis mice model. Methods: 2×10^5 B16-F10 cells were injected into WT and lactoferrin kncoutout (Lf-/-) mice (each group has 10 eight-weeks-old male mice) through tail vein.
GSE117643	6	Gene expression profiles of differentiating BMSCs from WT and Irx5 knockout mice during osteoblastogenesis (day 4 post differentiation)	Functional mutagenic screening has been used to identify key factors required for a wide range of developmental processes. However, such screens can only be successfully applied in lower organisms. Here, through combined application of androgenetic haploid embryonic stem cells (haESCs) and CRISPR-Cas9-based genome editing, we quickly identify pivotal factors involved in early bone development from a medium-scale gene library.
GSE142513	44	Effects of a gastrin receptor antagonist (NTZ, previously named YF) on the gastric corpus mucosa of HKATPase betasubunit  knockout (KO) mice	Purpose: the effects of a gastrin receptor antagonist has been studies in patients with gastrin neuroendocrine (NE) tumours due to hypergastrinemia. This mouse model of hypergastrinemia is a model for studying long term acid inhibition, including NE hyperplasia and formation of Spasmolytic polypeptide expressing metaplasia (SPEM), a proposed premalignant alteration of the stomach. Methods: RNA was isolated from the oxyntic mucosa.
GSE116897	2	Gene expression profiling of fetal liver-derived hematopoietic stem cells in conditional ESAM-knockout mice.	Endothelial cell-selective adhesion molecule (ESAM) is a life-long maker for hematopoietic stem cells (HSCs). Although we previously elucidated the functional importance of ESAM on HSCs in stress-induced hematopoiesis in adults, it remained unknown how ESAM affects hematopoietic development during fetal life. To address this issue, we analyzed fetuses of conditional ESAM-knockout mice.
GSE116896	2	Gene expression profiling of fetal liver-derived hematopoietic stem cells in conventional ESAM-knockout mice.	Endothelial cell-selective adhesion molecule (ESAM) is a life-long maker for hematopoietic stem cells (HSCs). Although we previously elucidated the functional importance of ESAM on HSCs in stress-induced hematopoiesis in adults, it remained unknown how ESAM affects hematopoietic development during fetal life. To address this issue, we analyzed fetuses of conventional ESAM-knockout mice.
GSE133995	16	RNA-seq profiling of adult skeletal muscle after long term conditional knockout of Hic1 [TA RNA-seq]	To determine the effects of long term deletion of the transcriptional repressor Hypermethylated in cancer 1 (Hic1) on skeletal muscle, samples were collected of both wild type mice and those conditionally deleted for Hic1 and profiled by RNA sequencing. Aspects of muscle homeostasis were negatively impacted, highlighting cell and non cell autonomous roles for Hic1 in maintaining functional MPs and muscle tissue.
GSE111615	4	Development of gene expression signatures in colon tissues from wildtype and CARD9 knockout tumor mice	We report the application of single-molecule-based sequencing technology for high-throughput profiling of mRNA expression profile for colon tissues from wildtype and CARD9 knockout mice treated with AOM/DSS
GSE110012	6	RNA-seq profiling of FACS purified MPs from adult skeletal muscle after conditional knockout of Hic1 [MP RNA-seq]	To determine the effect of the deletion of the trancriptional repressor Hypermethylated in cancer 1 (Hic1) on quiescence, adult mesenchymal progenitors (MPs) were isolated from skeletal muscle of both wild type mice and those conditionally deleted for Hic1 and profiled by RNA sequencing. Comparison to MPs activated by using a muscle injury model of the tibialis anterior muscle revealed similar pathways affected under both conditions, highlighting the role for Hic1 in maintaining the quiescent state of MPs
GSE137501	6	Transcriptomic profiling of ZMPSTE24 knockout endothelial cells: implication of endothelial dysfunction in HGPS	Hutchinson-Gilford progeria syndrome (HGPS) is an ultrarare and fatal disease with features of premature aging and cardiovascular diseases (atherosclerosis, myocardial infarction, and stroke). The molecular basis underlying premature aging driven cardiovascular diseases remains incompletely understood. Since endothelial dysfunction is involved in the initiation and progression of cardiovascular diseases.
GSE136627	34	Gene regulation in gastrocnemius muscle of denervated mouse with HDAC4 inducible knockout or class IIa HDAC inhibitior NVS-HD1 treatment	Our class IIa HDAC inhibitor, NVS-HD1, inhibited HDAC4 with less than 1 nM potency while exhibiting >200 fold selectivity on class IIa HDACs compared to class I (HDAC1, 3, 8) and class IIb (HDAC6) HDACs, making it the most potent and selective class IIa HDAC inhibitor reported so far. We tested the efficacy of NVS-HD1 in the mouse denervation model, either alone or on the genetic background of HDAC4 whole-body inducible knockout (HDAC4 iRKO).
GSE130890	96	Time series transcritpome in wild-type mice and XBP1 liver-specific knockout mice	We reported the liver transcritpome (taken at 2h interval for a total of 48 hrs) in the liver of wild-type mice and XBP1 liver-specific knockout mice
GSE133179	6	Gene expression changes in ovaries of oocyte-specific conditional knockout of Ubc9 in juvenile mice	The reproductive lifespan in mammals is largely determined by the abundance and quality of oocytes residing within the primoridial ovarian follicular pool. Critical oocyte-expressed genes driving ovarian function have been identified, buta role for post-translational modifications, such as SUMOylation of these key factors is not well understood. Oocyte-specific genetic ablation of the sole E2 SUMOylation enzyme, UBC9,  cause female sterility.
GSE127251	96	Transcriptome differences between white and brown adipose tissue from wildtype and uncoupling protein 1 knockout mice exposed to different diets and ambient temperatures	We analyzed  transcript abundance in interscapular brown and inguinal white adipose tissue of wildtype and UCP1-KO mice either adpated to 20°C or 30°C and fed a high fat or control diet.
GSE136983	12	RNA-seq of cortical brain from Grin1-exon5 constitutive vs. Grin1-exon5 knockout mice	Here we report bulk RNA transcriptomes of cortical brains from transgenic mice from Grin1-exon5 constitutive vs. Grin1-exon5 knockout mice. Physiologically, Grin1-exon5 positive mice have reduced hippocampal LTP (vs. WT) and are learning and memory (vs. WT) impaired compared to Grin1-exon5 negative mice that have heightened LTP (compared to WT) and better learning and memory (compared to WT).
GSE139348	9	RNA-seq to measure gene expression changes caused by Dicer1 knockout in mouse embryonic stem cells (mESCs)	The identification of miRNA targets by Ago2-CLIP methods has provided major insights into the biology of this important class of non-coding RNAs. However, these methods are technically challenging and not easily translated to an in vivo setting. To overcome these limitations and to facilitate the investigation of miRNA functions in mice, we have developed a method (HEAP) to map miRNA-mRNA binding sites.
GSE136309	32	Transcriptome analysis suggests a compensatory role of the cofactors coenzyme A and NAD+ in medium-chain acyl-CoA dehydrogenase knockout mice	During fasting, mitochondrial fatty-acid β-oxidation (mFAO) is essential for the generation of glucose by the liver. Children with a loss-of-function deficiency in the mFAO enzyme medium-chain acyl-Coenzyme A dehydrogenase (MCAD) are at serious risk of life-threatening low blood glucose levels during fasting in combination with intercurrent disease. However, a subset of these children remains asymptomatic throughout life.
GSE89966	6	Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type Mice and Toll-like Receptor 4 Intestianl Epithelial Conditional Knockout Mice Ileal Transcriptomes	Toll-like receptor 4 (TLR4), the receptor of gram-negative bacterial endotoxin, is present on the intestinal epithelium and plays pivotal roles in intestinal epithelial differentiation and host defense. To better understand TLR4 on the intestinal epithelium, the ileum samples from wild type mice and mice lacking TLR4 in the intestinal epithelium (TLR4ΔIEC) were subjected to RNA-seq analysis to interrogate the transcriptome.
GSE106302	8	Hippocampal gene expression from Nr2f1 heterozygous knockout and WT mice	Differential gene expression in the adult hippocampus of Nr2f1 heterozygous knockout mice.
GSE138782	7	Gene expression profiles of PGAM5-knockout brown adipose tissue	PGAM5 is a mitochondria-localized protein phosphatase. To analyze the effect on gene expression profiles by PGAM5 in iBAT, RNA-seq analysis was performed.
GSE137022	62	RNA-seq from adipose and liver tissue in Fam13a knockout and wildtype mice on different diets	We performed RNA-sequencing of liver, visceral and subcutaneous adipose tissues from Fam13a KO/WT mice on high fat diet and chow. We observed genes in pathways relevant to adipose biology to be differentially expressed between WT and KO, and there to be a more pervasive effect of Fam13a KO on the transcriptome in SAT when compared to VAT.
GSE130394	16	Next Generation Sequencing of Wild Type and Mice Knocked Out for Known Methionine Sulfoxide Reducatases	Methionine sulfoxide reductase (Msr) is an important antioxidant enzyme. The mammalian Msr family has four members: MsrA, MsrB1, MsrB2, and MsrB3. We generated a mouse strain with deletion of all four Msr proteins. Deletion was confirmed by Western blotting. The quadruple knockout mouse is viable, and growth, development, and fertility appear normal. However, they are unexpectedly resistanct to oxidative stresses.
GSE122741	16	The effects of Mkp-1 knockout and systemic E. coli infection on the transcriptome of the liver	Previously, I have found that Mkp-1 knockout exacerbates inflammation, perturbs lipid metabolism, increases organ damage, mortality, and bacterial burdens.  To understand the role of Mkp-1 in the regulation of host defense, we performed RNA-seq analysis using total RNA isolated from livers of uninfected and E. coli-infected wildtype and Mkp-1 knockout mice. Specifically, Mkp-1 wildtype and knockout (both on the C57/129 background) mice were infected with E.
GSE121246	9	RNA-seq data from wildtype, STAT5A-knockout and STAT5B-knockout BCR/ABLp185+ transformed mouse bone marrow cell lines	RNA-Seq of immortalized Stat5a-/-, Stat5b-/-, and wildtype BCR/ABLp185+ cell lines was used to identify STAT5A and STAT5B specific target genes.
GSE62038	4	Differentially expressed genes in Naa10p knockout mouse embryos	Mammalian Naa10p, encoded by NAA10, is the only known enzyme capable of catalyzing both N-α-acetylation of nascent proteins in cytosol and ε-acetylation of internal lysines of proteins. Both enzyme-dependent and -independent functions of Naa10p are associated with cancer and some genetic diseases with developmental defects. To examine the function of Naa10p in development, we generated Naa10-KO mice by deleting exons 2 to 6 of Naa10 gene, which encode all putative isoforms of Naa10p.
GSE116773	24	Analysis of Notch2 conditional knockout (CKO) and wild type mouse hippocampal stem cells	Regulated genes downsteam of Notch2 Methods: mRNA profiles of adult wild type and Notch2 CKO neural stem cells were generated by deep sequencing, in triplicate. Two libraries were generated for each RNA sample using Nextera XT DNA Library Preparation Kit (Illumina) and sequenced by SmartSeq2 kit (Illumina) on different days. Each sample was sequenced twice in two independent lanes on a Illumina HiSeq 2500.
GSE132045	99	Single cell RNA-seq Analysis of Wild Type(WT), Dux knockout(KO) and Dux overexpression(OE) embryos	We tested the transcriptome of embryos from WT and Dux KO mice including zygotes (hCG 28h), early 2-cell (hCG 31-32h), middle 2-cell(hCG 41-42h), late 2-cell(hCG 47-48h) and, Dux mRNA injected embryos including zygote(5h after injection, hCG 28h), early 4-cell(6h after injection, hCG 54h) and late 4-cell (17h after injection, hCG 65h) using the Covaris DNA shearing protocol for Smart-seq sequence library generation.
GSE137772	68	RNAseq comparison of Ezh2 heterogygous knockout mesenchymal stromal cells verses wild type in young and aged mice	Comparison of gene expression pattern profiles of bone derived Ezh2 heterozygous (Het) mesenchymal cells versuss wild type mesenchymal cells isolated from young (3 month old; 3M) and aged (12 month old; 12M) mice.
GSE130081	33	Gene expression changes in Neil1, Neil2 and Apex1 single knockout mouse embryonic stem cells prior and during embryoid body differentiation	The bifunctional DNA glycosylases/AP lyases NEIL1 and NEIL2 excise oxidative base damages, but can also enhance the steady-state turnover of thymine DNA glycosylase (TDG) during oxidative DNA demethylation (Schomacher et al. 2016; doi:10.1038/nsmb.3151) probably due to their AP lyase activity during base excision repair (BER). The dual role of NEILs in antagonizing base damages and promoting epigenetic gene reactivation prompted us to investigate the consequences of Neil-deficiency during embryonic stem cell differentiation.
GSE130080	6	Gene expression changes in Neil1 / Neil2 / Neil3 triple knockout mouse teratoma	The bifunctional DNA glycosylases / AP lyases NEIL1 and NEIL2 excise oxidative base damages, but can also enhance the steady-state turnover of thymine DNA glycosylase (TDG) during oxidative DNA demethylation (Schomacher et al. 2016; doi:10.1038/nsmb.3151). The dual role of NEILs in antagonizing base damages and promoting epigenetic gene reactivation prompted us to investigate the consequences of NEIL deficiency during embryonic stem cell differentiation.
GSE136910	9	RNA Seq of Subcutaneous adipose tissue from endothelial-AGO1-knockout (EC-AGO1-KO) mice and wild-type (WT) littermates	Purpose: to profile transcriptome changes due to EC-AGO1-deficiency Methods: Subcutaneous adipose tissue were harvested. RNA was extracted using TRIzol and library was prepared for sequencing. Results: We found genes involved in pathways promoting angiogenesis, browning, insulin sensitivity to be upregulated, and those promoting inflammation and fibrosis to be decreased in KO compared with WT mice. Conclusions:Our study represents the detailed analysis of Ago1 regulate transcriptomes in SAT between WT and KO mice. We conclude that RNA-seq based transcriptome characterization would expedite genetic network analyses and permit the dissection of complex biologic functions.
GSE134158	4	Expression data from wild-type and TIF1a-knockout mouse macrophages stimulated with or without mouse IL-4(20ng/mL) for 6 h.	We conducted gene expression profile analysis by using wild-type and TIF1a-knockout peritoneal macrophage.Analysis revealed the most prominent different expression of genes altered in macrophages upon IL-4 stimulation were associated with marker genes of alternative macrophage.
GSE134515	16	Transcriptomic analysis of Sh2d2a knockout regulatory T cells following a time-course of anti-CD3 stimulation	We report that the T cell specific adaptor protein (TSAd, encoded by the Sh2d2a gene) serves as a critical cell intrinsic molecule in CD4+Foxp3+ regulatory T cells to regulate cellular activation responses, mitochondrial translocation of  Lymphocyte-specific protein tyrosine kinase (Lck) and immunoregulation following solid organ transplantation
GSE132728	24	RNA-sequencing of paired normal-adjacent and liver tumor tissue from WT and Liver MPC-knockout mice	Purpose: Liver-specific MPC-knockout (Mpc1-/-, LivKO) mice develop less liver tumors than wild-type (Mpc1+/+) mice when given a DEN/CCl4 hepatocarcinogenesis protocol. The goals of this study are to compare transcriptome changes (RNA-seq) between liver tumor and normal-adjacent tissue in WT and Mpc1-/- mice. Methods: Total RNA was collected from tumor and paired normal-adjacent liver samples using the Qiagen miRNeasy kit.
GSE133287	4	Transcriptomics analysis of wild type and Wdr26 knockout MEL cells	Wdr26 is a gene induced during red cell development. In order to understand the function of wdr26 during erythropoiesis, we analyzed the transcriptomes of wild type and Wdr26-knockout mouse eythroleukemia (MEL) cells. We found that loss of Wdr26 did not cause a global increase in the expression of genes that encode nuclear proteins.
GSE113756	17	Response of Hepatocytes to CCl4 Injury and Yap/Taz Knockout	Assessment of Hepatocytes in response to Yap/Taz knockout and also CCl4 injury
GSE119359	2	Quantitative Analysis of Wild Type and Secisbp2l Conditional Knockout Spinal Cord Transcriptomes	The goals of this study are to analyze NGS-derived spinal cord transcriptome profiling (RNA-seq) of wild type (WT) and Olig1-Cre mediated Secisbp2l Exon3 deletion (cKO) at postnatal day 7 (P7). Spinal cord RNA profiles were generated by deep sequencing, using Illumina Hiseq 2500. The sequence reads that passed quality filters were analyzed at the transcript isoform level with HISAT2 and RSeQC.
GSE136280	4	RNAseq of souble factors in RPE cells from Cryba1 conditional knockout (cKO) mice	The study was aimed at understanding the expression of known neutrophil regulating factors in the retinal pigment epithelium (RPE) cells with increasing age in a mouse model (Cryba1 cKO, mice lacking gene which codes for beta A3/A1-crystallin protein only in the RPE cells) of age-related macular degeneration
GSE117148	4	Transcriptome analysis of histone demethylase Kdm2a knockout in mouse embryonic stem cells	H3K36 methylation plays an important role in gene regulation. The role of H3K36 demethylase Kdm2b has been well studied. However, the role of Kdm2a in embryonic stem cells are still unkonwn. To study the function of Kdm2a in embryonic stem cells. We used CRISPR-gRNA system to knockout Kdm2a. We analyzed the gene expression change and identified target genes and repeats of Kdm2a. We uncovered a novel role of Kdm2a in regulating gene expression in embryonic stem cells.
GSE135916	39	RNA-seq analysis of spleen and liver tissue from wild-type and SXR/PXR knockout mice exposed to PCB-153 or vehicle	Purpose: to investigate transcriptomal differences between wild-type and SXR/PXR knockout mice and the impact of PCB-153 exposure to both strains to help reveal the mechanism behind the phenotype of hemolytic anemia observed in SXR knockout mice exposed to PCB-153
GSE132180	25	Identifying Novel Roles for Peptidergic Signaling in Mice	PamcKO/cKO mice, with loxp sites flanking exons previously deleted in the global Pam knockout, were created,  viable and equivalent to wildtype mice in every test.  Eliminating Pam expression in excitatory forebrain neurons reduced anxiety-like behavior, increased locomotor responsiveness to cocaine and improved thermoregulation in the cold.  Eliminating Pam expression in cardiomyocytes increased anxiety-like behavior, improved thermoregulation and markedly diminished atrial levels of pro-atrial natriuretic peptide.
GSE135392	15	Next Generation Sequencing Analysis of chemically reprogrammed osteoblasts from Beta-actin Wildtype (WT) Heterozygotes (HET) and knockout (KO) Mouse Embryonic Fibroblast (MEFs)	mRNA profiles of chemically reprogrammed osteoblasts from Beta-actin Wildtype (WT) Heterozygotes (HET) and knockout (KO) Mouse Embryonic Fibroblast (MEFs)
GSE132075	4	Changes in total RNA in BK deficient mice after 4h sleep deprivation [pools]	Animals deficient for the alpha subunit of the large conductance calcium dependent potassium channel (BK) were sleep deprived for 4 hours and compared to wildtype littermates as well as animals (wildtype littermate and BK deficient) left undisturbed for the same time.
GSE132074	16	Changes in total RNA in BK deficient mice after 4h sleep deprivation [individuals]	Animals deficient for the alpha subunit of the large conductance calcium dependent potassium channel (BK) were sleep deprived for 4 hours and compared to wildtype littermates as well as animals (wildtype littermate and BK deficient) left undisturbed for the same time.
GSE117165	6	RNA sequencing of isogenic Phf6 wild type and  Phf6 knockout mouse T-ALL cells	Loss-of-function mutations Phf6 occur frequently in both adult and pediatric T-cell Acute Lymphoblastic Leukemia (T-ALL). Although Phf6 is widely expressed, little is known about its proposed function as epigenetic regulator and tumor suppressor. To address the role of Phf6 in the leukemia development, here we analyze by RNAseq the gene expression profiles of isogenic Phf6 wild type and Phf6 knockout leukemia cells transformed by overexpression of an oncogenic mutant form of the NOTCH1 receptor.
GSE84312	28	RNAseq analysis of quadriceps muscles from adult mice with constitutively active skeletal and cardiac muscle mTORC1 (through conditional knockout of Tsc1 under the Mck Cre) and their wild type litter mates	The purpose of this study was to determine how constitutively active mTORC1 signalling alters the transcriptome in skeletal muscle and determine how altered mTORC1 signaling influences the metabolic phenotype. We hypothesized that constitutively active skeletal muscle mTORC1 would lead to increased thermogenic capacity of the muscle and that this promotion of energy expenditure would be protective against diet-indued obesity
GSE134693	6	The effect of MSR1 knockout in macrophages in a co-culture system with BMSCs	To investigate the altered gene expression levels in MSR1 knockout and wild type macrophages in co-culture with BMSCs. Each group had a biological repeat (n=3). Results provide insight into the role of MSR1 in macrophages in a co-culture system.
GSE134608	24	RNA-seq analysis of the effects of single and compound deletion of Moz (Kat6a) and/or Dlx5 during mouse craniofacial development	The purpose of these data is to investigate the genetic perturbations which underlie the cleft palate phenotype in Kat6a and Dlx5 mutant mouse embryos. The palate develops from the maxillary portion of the first pharyngeal arches, commencing between E10.5 and E11.5 of mouse gestation.
GSE134180	6	TrxG complex catalytic and non-catalytic activity play distinct roles in pancreas progenitor specification and differentiation (E18.5 Dpy30∆P pancreas)	Purpose: To gain insight into why Dpy30∆P acinar cells fail to express terminal makers, we performed RNA-seq using E18.5 control and Dpy30∆P pancreata. Methods: Floxed Dpy30 mice were crossed to Pdx1-Cre driver mice to obtain conditional deletion of Dpy30 exon 4 in the pancreas. In all studies, knockout mice (Dpy30∆P, Pdx1-Cre; Dpy30flox/flox) were compared to littermate controls (Dpy30flox/flox or Dpy30flox/wt).
GSE129369	8	SMRT regulates metabolic homeostasis and adipose tissue macrophage phenotypes in tandem	The Silencing Mediator of Retinoid and Thyroid Hormone Receptors (SMRT) is a nuclear corepressor that regulates the transcriptional activity of many transcription factors critical for metabolic processes. While the importance of SMRT’s role in the adipocyte has been well-established, prior mouse models have yielded contradictory phenotypes, limiting our understanding of its in vivo function in the context of homeostatic maintenance.
GSE116682	8	RNA sequencing for mouse arcuate nucleus in male miR-17-92 knockout mice and female miR-7-sponge mice	To address the molecular basis of miR-7 and miR-17-92 regulation in the POMC neuron and sex-differential expression of genes in the arcuate nucleus.
GSE126560	6	Effect of Rgnef knockout in an aggressive ovarian cancer cell line	CRISPR/Cas9-mediated Rgnef knockout was performed in the aggressive ID8-IPs (alternaate name is KMF cells). Gene expression profiles of Rgnef-/- or Rgnef-/- cells re-expressing GFP-Rgnef were generated. Differential downregulation of antioxidant genes was observed in Rgnef-/- cells. Results provide insight into the role of Rgnef in promoting ovarian tumor progression.
GSE133050	17	The Circadian Protein Nocturnin Regulates Metabolic Adaptation in Brown Adipose Tissue	Fine-tuning of transcriptional responses can be critical for long-term outcomes in response to an environmental challenge. The circadian protein Nocturnin belongs to a family of proteins that include exonucleases, endonucleases and phosphatases and is most closely related to the CCR4 family of deadenylases that regulate the cellular transcriptome via control of polyA tail length of RNA transcripts. In this study, we investigate the role of Nocturnin in regulating the transcriptional response and downstream metabolic adaptations during cold exposure in brown adipose tissue. We find that Nocturnin exhibits dual localization within the cytosol and mitochondria, and loss of Nocturnin causes changes in expression of networks of mRNAs involved in mitochondrial function. Furthermore, Nocturnin-/- animals display significantly elevated levels of TCA cycle intermediates indicating that they have distinct metabolic adaptations during a prolonged cold exposure. We conclude that cold-induced stimulation of Nocturnin levels can regulate long-term metabolic adaptations to environmental challenges.
GSE126259	12	TFEB-driven lysosomal biogenesis is pivotal for PGC1a-dependent renal stress resistance	Because injured mitochondria can accelerate cell death through the elaboration of oxidative free radicals and other mediators, it is somewhat paradoxical that proliferator gamma coactivator 1-alpha (PGC1a), a stimulator of increased mitochondrial abundance, protects stressed renal cells instead of potentiating injury. Here we report that PGC1a’s induction of lysosomes via transcription factor EB (TFEB) may be pivotal for kidney protection.
GSE128571	7	E11.5 Hand1 myocardial knockout RNA-Seq	Aims: To examine the role of the basic Helix-loop-Helix (bHLH) transcription factor HAND1 in embryonic and adult myocardium. Methods and Results: Hand1 is expressed within the cardiomyocytes of the left ventricle (LV) and myocardial cuff between embryonic days (E) 9.5-13.5. Hand gene dosage plays an important role in ventricular morphology and the contribution of Hand1 to congenital heart defects requires further interrogation.
GSE116314	16	Transcriptomic changes in wild-type and Phlpp1-/- mice following KLA stimulation	The goals of this study are to compare transcriptome profiling (RNA-seq) of bone marrow derived macrophages from wild-type and PHLPP1 knock-out mice and how Inflammatory stimulation affects those profiles.
GSE120977	20	Transcriptomic analysis of liver mRNA from TSP-1 KO and WT mice fed with normal diet or choline deficient amino acid defined diet (CDAHFD, human NASH model)	Transcriptomic profiles of wild type and TSP1 knockout mice that were fed control (normal) diet or CDAHFD (choline deficient amino acid defiend high fat diet) chow for 12 weeks to model Non-alcoholic Steatohepatitis (NASH) disease in humans.
GSE100491	6	Transcriptomics analysis of gene expression in control, Prrc2a conditional knockout, and Fto transgene mouse brain sample	RNA was isolated from hippocampus sample from 4 weeks old prrc2a flox/flox and prrc2a flox/flox;Olig2-cre or 4 weeks old wt and Fto Tg micemice using the TRIzol (Invitrogen) reagent by following the company manual. For all samples the RNA integrity was checked using an Agilent Bioanalyzer 2100. All samples showed a RIN (RNA integrity number) of higher than 9. Approximately 2.5 µg of total RNA was then used for library preparation using a TruSeq RNA Sample Prep Kit v2 (Illumina, San Diego, CA, USA) according to the manufacturer's protocol.The libraries were sequenced using HiSeq3000 (Illumina) in paired-read mode, creating reads with a length of 150 bp.
